,BW,Beg.,Nov.,Int.,Adv.,Elite,Area,Exercise
0,49.89512,< 1,9,41,84,135,legs,lunge
1,54.431039999999996,< 1,10,41,82,130,legs,lunge
2,58.96696,< 1,10,41,80,125,legs,lunge
3,63.50288,< 1,11,40,77,120,legs,lunge
4,68.0388,< 1,11,39,75,116,legs,lunge
5,72.57472,< 1,11,38,73,112,legs,lunge
6,77.11064,< 1,11,38,71,108,legs,lunge
7,81.64656,< 1,11,37,69,105,legs,lunge
8,86.18248,< 1,11,36,67,102,legs,lunge
9,90.7184,< 1,11,35,65,99,legs,lunge
10,95.25431999999999,< 1,11,35,63,96,legs,lunge
11,99.79024,< 1,11,34,62,93,legs,lunge
12,104.32616,< 1,11,33,60,90,legs,lunge
13,108.86207999999999,< 1,11,32,58,88,legs,lunge
14,113.398,< 1,10,31,57,86,legs,lunge
15,117.93392,< 1,10,31,56,83,legs,lunge
16,122.46984,< 1,10,30,54,81,legs,lunge
17,127.00576,< 1,10,29,53,79,legs,lunge
18,131.54167999999999,< 1,10,29,52,77,legs,lunge
19,136.0776,< 1,9,28,50,75,legs,lunge
20,140.61352,< 1,9,27,49,74,legs,lunge
0,49.89512,< 1,9,38,76,120,legs,reverse_lunge
1,54.431039999999996,< 1,9,37,74,115,legs,reverse_lunge
2,58.96696,< 1,10,37,71,111,legs,reverse_lunge
3,63.50288,< 1,10,36,69,107,legs,reverse_lunge
4,68.0388,< 1,10,36,67,103,legs,reverse_lunge
5,72.57472,< 1,11,35,65,100,legs,reverse_lunge
6,77.11064,< 1,11,34,64,97,legs,reverse_lunge
7,81.64656,< 1,11,34,62,93,legs,reverse_lunge
8,86.18248,< 1,11,33,60,91,legs,reverse_lunge
9,90.7184,< 1,10,32,58,88,legs,reverse_lunge
10,95.25431999999999,< 1,10,31,57,85,legs,reverse_lunge
11,99.79024,< 1,10,31,55,83,legs,reverse_lunge
12,104.32616,< 1,10,30,54,80,legs,reverse_lunge
13,108.86207999999999,< 1,10,29,52,78,legs,reverse_lunge
14,113.398,< 1,10,28,51,76,legs,reverse_lunge
15,117.93392,< 1,10,28,50,74,legs,reverse_lunge
16,122.46984,< 1,9,27,49,72,legs,reverse_lunge
17,127.00576,< 1,9,26,47,70,legs,reverse_lunge
18,131.54167999999999,< 1,9,26,46,69,legs,reverse_lunge
19,136.0776,< 1,9,25,45,67,legs,reverse_lunge
20,140.61352,< 1,9,24,44,65,legs,reverse_lunge
0,49.89512,< 1,12,41,79,121,legs,side_lunge
1,54.431039999999996,< 1,13,41,77,117,legs,side_lunge
2,58.96696,< 1,14,41,75,113,legs,side_lunge
3,63.50288,< 1,15,41,73,110,legs,side_lunge
4,68.0388,< 1,15,40,71,106,legs,side_lunge
5,72.57472,< 1,15,40,70,103,legs,side_lunge
6,77.11064,< 1,15,39,68,100,legs,side_lunge
7,81.64656,< 1,15,38,66,97,legs,side_lunge
8,86.18248,< 1,15,38,64,94,legs,side_lunge
9,90.7184,< 1,15,37,63,92,legs,side_lunge
10,95.25431999999999,< 1,15,36,61,89,legs,side_lunge
11,99.79024,< 1,15,35,60,87,legs,side_lunge
12,104.32616,< 1,15,35,58,85,legs,side_lunge
13,108.86207999999999,< 1,14,34,57,82,legs,side_lunge
14,113.398,< 1,14,33,56,80,legs,side_lunge
15,117.93392,< 1,14,33,54,78,legs,side_lunge
16,122.46984,< 1,14,32,53,77,legs,side_lunge
17,127.00576,< 1,13,31,52,75,legs,side_lunge
18,131.54167999999999,< 1,13,31,51,73,legs,side_lunge
19,136.0776,< 1,13,30,50,71,legs,side_lunge
20,140.61352,< 1,13,29,49,70,legs,side_lunge
0,49.89512,< 1,12,62,131,215,legs,bodyweight_squat
1,54.431039999999996,< 1,13,61,127,206,legs,bodyweight_squat
2,58.96696,< 1,15,61,123,198,legs,bodyweight_squat
3,63.50288,< 1,15,60,120,191,legs,bodyweight_squat
4,68.0388,< 1,16,59,116,184,legs,bodyweight_squat
5,72.57472,< 1,16,58,113,178,legs,bodyweight_squat
6,77.11064,< 1,17,57,110,172,legs,bodyweight_squat
7,81.64656,< 1,17,56,107,167,legs,bodyweight_squat
8,86.18248,< 1,17,55,104,162,legs,bodyweight_squat
9,90.7184,< 1,17,54,101,157,legs,bodyweight_squat
10,95.25431999999999,< 1,17,53,99,152,legs,bodyweight_squat
11,99.79024,< 1,17,52,96,148,legs,bodyweight_squat
12,104.32616,< 1,17,51,94,144,legs,bodyweight_squat
13,108.86207999999999,< 1,17,50,92,140,legs,bodyweight_squat
14,113.398,< 1,17,49,90,137,legs,bodyweight_squat
15,117.93392,< 1,16,48,88,133,legs,bodyweight_squat
16,122.46984,< 1,16,47,86,130,legs,bodyweight_squat
17,127.00576,< 1,16,46,84,127,legs,bodyweight_squat
18,131.54167999999999,< 1,16,45,82,124,legs,bodyweight_squat
19,136.0776,< 1,16,44,80,121,legs,bodyweight_squat
20,140.61352,< 1,15,44,79,119,legs,bodyweight_squat
0,49.89512,< 1,< 1,13,29,46,legs,pistol_squat
1,54.431039999999996,< 1,1,13,28,45,legs,pistol_squat
2,58.96696,< 1,2,13,28,44,legs,pistol_squat
3,63.50288,< 1,3,13,27,43,legs,pistol_squat
4,68.0388,< 1,3,13,27,41,legs,pistol_squat
5,72.57472,< 1,3,13,26,40,legs,pistol_squat
6,77.11064,< 1,3,13,26,39,legs,pistol_squat
7,81.64656,< 1,3,13,25,38,legs,pistol_squat
8,86.18248,< 1,3,12,24,37,legs,pistol_squat
9,90.7184,< 1,3,12,24,36,legs,pistol_squat
10,95.25431999999999,< 1,3,12,23,35,legs,pistol_squat
11,99.79024,< 1,3,12,22,34,legs,pistol_squat
12,104.32616,< 1,3,11,22,33,legs,pistol_squat
13,108.86207999999999,< 1,3,11,21,32,legs,pistol_squat
14,113.398,< 1,3,10,20,31,legs,pistol_squat
15,117.93392,< 1,3,10,20,30,legs,pistol_squat
16,122.46984,< 1,2,10,19,29,legs,pistol_squat
17,127.00576,< 1,2,10,19,28,legs,pistol_squat
18,131.54167999999999,< 1,2,9,18,28,legs,pistol_squat
19,136.0776,< 1,2,9,18,27,legs,pistol_squat
20,140.61352,< 1,2,9,17,26,legs,pistol_squat
0,49.89512,< 1,< 1,10,29,52,legs,single_leg_squat
1,54.431039999999996,< 1,< 1,11,30,52,legs,single_leg_squat
2,58.96696,< 1,< 1,12,31,52,legs,single_leg_squat
3,63.50288,< 1,< 1,13,31,51,legs,single_leg_squat
4,68.0388,< 1,< 1,13,31,50,legs,single_leg_squat
5,72.57472,< 1,< 1,14,31,50,legs,single_leg_squat
6,77.11064,< 1,1,14,31,49,legs,single_leg_squat
7,81.64656,< 1,2,14,30,48,legs,single_leg_squat
8,86.18248,< 1,2,14,30,47,legs,single_leg_squat
9,90.7184,< 1,3,14,30,46,legs,single_leg_squat
10,95.25431999999999,< 1,3,14,29,45,legs,single_leg_squat
11,99.79024,< 1,3,14,29,45,legs,single_leg_squat
12,104.32616,< 1,3,14,28,44,legs,single_leg_squat
13,108.86207999999999,< 1,3,14,28,43,legs,single_leg_squat
14,113.398,< 1,4,14,27,42,legs,single_leg_squat
15,117.93392,< 1,4,14,27,41,legs,single_leg_squat
16,122.46984,< 1,4,14,27,40,legs,single_leg_squat
17,127.00576,< 1,4,13,26,40,legs,single_leg_squat
18,131.54167999999999,< 1,4,13,26,39,legs,single_leg_squat
19,136.0776,< 1,4,13,25,38,legs,single_leg_squat
20,140.61352,< 1,4,13,25,37,legs,single_leg_squat
0,49.89512,< 1,1,35,82,139,legs,glute_bridge
1,54.431039999999996,< 1,4,36,81,135,legs,glute_bridge
2,58.96696,< 1,5,37,80,132,legs,glute_bridge
3,63.50288,< 1,6,37,79,128,legs,glute_bridge
4,68.0388,< 1,7,37,78,125,legs,glute_bridge
5,72.57472,< 1,8,37,76,122,legs,glute_bridge
6,77.11064,< 1,9,37,75,119,legs,glute_bridge
7,81.64656,< 1,9,37,73,116,legs,glute_bridge
8,86.18248,< 1,9,37,72,113,legs,glute_bridge
9,90.7184,< 1,10,37,71,110,legs,glute_bridge
10,95.25431999999999,< 1,10,36,69,107,legs,glute_bridge
11,99.79024,< 1,10,36,68,105,legs,glute_bridge
12,104.32616,< 1,10,35,67,103,legs,glute_bridge
13,108.86207999999999,< 1,10,35,66,100,legs,glute_bridge
14,113.398,< 1,10,34,64,98,legs,glute_bridge
15,117.93392,< 1,10,34,63,96,legs,glute_bridge
16,122.46984,< 1,10,34,62,94,legs,glute_bridge
17,127.00576,< 1,10,33,61,92,legs,glute_bridge
18,131.54167999999999,< 1,10,33,60,90,legs,glute_bridge
19,136.0776,< 1,10,32,59,88,legs,glute_bridge
20,140.61352,< 1,10,32,58,87,legs,glute_bridge
0,49.89512,< 1,5,15,27,40,back,pull_ups
1,54.431039999999996,< 1,6,15,26,39,back,pull_ups
2,58.96696,< 1,6,15,26,38,back,pull_ups
3,63.50288,< 1,6,15,25,37,back,pull_ups
4,68.0388,< 1,6,14,25,36,back,pull_ups
5,72.57472,< 1,6,14,24,34,back,pull_ups
6,77.11064,< 1,6,14,23,33,back,pull_ups
7,81.64656,< 1,6,13,23,32,back,pull_ups
8,86.18248,< 1,6,13,22,31,back,pull_ups
9,90.7184,< 1,6,13,21,30,back,pull_ups
10,95.25431999999999,< 1,6,12,21,29,back,pull_ups
11,99.79024,< 1,6,12,20,28,back,pull_ups
12,104.32616,< 1,5,11,19,27,back,pull_ups
13,108.86207999999999,< 1,5,11,19,27,back,pull_ups
14,113.398,< 1,5,10,18,26,back,pull_ups
15,117.93392,< 1,5,10,17,25,back,pull_ups
16,122.46984,< 1,4,10,17,24,back,pull_ups
17,127.00576,< 1,4,10,16,23,back,pull_ups
18,131.54167999999999,< 1,4,9,16,23,back,pull_ups
19,136.0776,< 1,3,9,15,22,back,pull_ups
20,140.61352,< 1,3,9,15,21,back,pull_ups
0,49.89512,< 1,6,15,26,37,back,chin_ups
1,54.431039999999996,< 1,7,15,25,36,back,chin_ups
2,58.96696,< 1,7,15,25,35,back,chin_ups
3,63.50288,< 1,7,15,24,34,back,chin_ups
4,68.0388,< 1,7,15,24,33,back,chin_ups
5,72.57472,< 1,7,14,23,32,back,chin_ups
6,77.11064,< 1,7,14,22,31,back,chin_ups
7,81.64656,< 1,7,13,22,30,back,chin_ups
8,86.18248,< 1,7,13,21,29,back,chin_ups
